system:index,mean_ndvi,year,.geo
0,2216.7828615197423,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2060.172537655731,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2252.1305484583895,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2055.9900924967264,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2341.700555961682,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2162.6389424458757,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2244.4620989796,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2176.8320612412285,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2316.29999620131,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2281.4987092662004,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2534.1285487809632,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2468.1403814737246,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2368.6866523353256,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2194.2774608571176,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2395.596157026116,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2427.212966534284,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2233.7895489047223,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2416.228756118299,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2352.091854143922,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2703.038650652648,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2538.504256477823,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
